"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"7379-35-3";"100.028.133";NA;NA;NA;NA;"Missing_PNEC"
"7379-51-3";"100.028.134";NA;NA;NA;NA;"Missing_PNEC"
"7381-01-3";"100.028.136";"6.87 mg/L (1)";NA;6.87;6.87;"N/A"
"7381-13-7";"100.133.324";NA;NA;NA;NA;"Missing_PNEC"
"73816-74-7";"100.070.540";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"73833-37-1";"100.070.543";NA;NA;NA;NA;"Missing_PNEC"
"7384-22-7";"100.028.146";NA;NA;NA;NA;"Missing_PNEC"
"7384-80-7";"100.028.147";NA;NA;NA;NA;"Missing_PNEC"
"738587-10-5";"100.103.899";"10 mg/L (1)";NA;10;10;"N/A"
"738602-93-2";"100.105.066";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"738606-43-4";"100.265.058";NA;NA;NA;NA;"Missing_PNEC"
"73866-23-6";"100.070.549";NA;NA;NA;NA;"Missing_PNEC"
"739-71-9";"100.010.917";NA;NA;NA;NA;"Missing_PNEC"
"73912-21-7";"100.070.555";NA;NA;NA;NA;"Missing_PNEC"
"7392-19-0";"100.028.167";NA;NA;NA;NA;"Missing_PNEC"
"73936-91-1";"100.102.117";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7394-38-9";"100.028.172";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"73942-87-7";"100.104.494";NA;NA;NA;NA;"Missing_PNEC"
"73947-34-9";"100.244.724";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7396-58-9";"100.028.173";NA;NA;NA;NA;"Missing_PNEC"
"73963-42-5";"100.133.027";NA;NA;NA;NA;"Missing_PNEC"
"7397-46-8";"100.102.384";NA;NA;NA;NA;"Missing_PNEC"
"7397-62-8";"100.028.174";"3.71 mg/L (1)";NA;3.71;3.71;"N/A"
"73978-41-3";"100.128.340";NA;NA;NA;NA;"Missing_PNEC"
"7398-69-8";"100.028.176";"100 mg/L (1)";NA;100;100;"N/A"
"73984-93-7";"100.245.154";"8 g/L (1)";NA;8000;8000;"N/A"
"74-11-3";"100.000.733";NA;NA;NA;NA;"Missing_PNEC"
"74-31-7";"100.000.734";"100 mg/L (1)";NA;100;100;"N/A"
"74-79-3";"100.000.738";"10 g/L (1)";NA;10000;10000;"N/A"
"74-82-8";"100.000.739";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74-83-9";"100.000.740";NA;NA;NA;NA;"Missing_PNEC"
"74-84-0";"100.000.741";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74-85-1";"100.000.742";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74-86-2";"100.000.743";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74-87-3";"100.000.744";"300 µg/L (1)";NA;0.3;0.3;"N/A"
"74-88-4";"100.000.745";NA;NA;NA;NA;"Missing_PNEC"
"74-89-5";"100.000.746";"2.4 mg/L (1)";NA;2.4;2.4;"N/A"
"74-90-8";"100.000.747";"50 µg/L (2)";NA;0.05;0.05;"N/A"
"74-93-1";"100.000.748";"2 mg/L (1)";NA;2;2;"N/A"
"74-94-2";"100.000.749";NA;NA;NA;NA;"Missing_PNEC"
"74-95-3";"100.000.750";NA;NA;NA;NA;"Missing_PNEC"
"74-96-4";"100.000.751";NA;NA;NA;NA;"Missing_PNEC"
"74-97-5";"100.000.752";NA;NA;NA;NA;"Missing_PNEC"
"74-98-6";"100.000.753";NA;NA;NA;NA;"Missing_PNEC"
"74-99-7";"100.000.754";NA;NA;NA;NA;"Missing_PNEC"
"7400-08-0";"100.028.182";NA;NA;NA;NA;"Missing_PNEC"
"7400-27-3";"100.028.183";NA;NA;NA;NA;"Missing_PNEC"
"7403-42-1";"100.028.189";NA;NA;NA;NA;"Missing_PNEC"
"74073-22-6";"100.109.659";NA;NA;NA;NA;"Missing_PNEC"
"740817-83-8";"100.149.336";"-";NA;NA;NA;"Missing_PNEC"
"740817-98-5";"100.190.725";NA;NA;NA;NA;"Missing_PNEC"
"74091-64-8";"100.101.075";"147 µg/L (1)";NA;0.147;0.147;"N/A"
"74103-06-3";"100.110.314";NA;NA;NA;NA;"Missing_PNEC"
"74124-79-1";"100.070.643";NA;NA;NA;NA;"Missing_PNEC"
"741248-63-5";"100.235.302";NA;NA;NA;NA;"Missing_PNEC"
"74135-10-7";"100.101.933";NA;NA;NA;NA;"Missing_PNEC"
"74149-72-7";"100.102.475";NA;NA;NA;NA;"Missing_PNEC"
"74149-73-8";"100.131.488";NA;NA;NA;NA;"Missing_PNEC"
"74149-74-9";"100.131.601";NA;NA;NA;NA;"Missing_PNEC"
"741683-94-3";"100.102.127";NA;NA;NA;NA;"Missing_PNEC"
"741684-54-8";"100.102.128";NA;NA;NA;NA;"Missing_PNEC"
"741684-57-1";"100.102.131";NA;NA;NA;NA;"Missing_PNEC"
"7417-21-2";"100.028.211";NA;NA;NA;NA;"Missing_PNEC"
"7417-99-4";"100.028.213";"100 µg/L (1)";NA;0.1;0.1;"N/A"
"74181-84-3";"100.070.660";"70.7 mg/L (1)";NA;70.7;70.7;"N/A"
"74186-17-7";"100.070.664";NA;NA;NA;NA;"Missing_PNEC"
"74191-85-8";"100.128.642";NA;NA;NA;NA;"Missing_PNEC"
"74196-16-0";"100.070.669";NA;NA;NA;NA;"Missing_PNEC"
"74196-18-2";"100.070.671";NA;NA;NA;NA;"Missing_PNEC"
"7420-89-5";"100.028.221";NA;NA;NA;NA;"Missing_PNEC"
"742087-48-5";"100.265.695";NA;NA;NA;NA;"Missing_PNEC"
"742087-49-6";"100.190.722";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7422-52-8";"100.028.223";NA;NA;NA;NA;"Missing_PNEC"
"74220-53-4";"100.070.685";NA;NA;NA;NA;"Missing_PNEC"
"74227-35-3";"100.100.658";"1 mg/L (1)";NA;1;1;"N/A"
"7423-42-9";"100.028.226";NA;NA;NA;NA;"Missing_PNEC"
"74239-96-6";"100.070.693";NA;NA;NA;NA;"Missing_PNEC"
"7425-80-1";"100.028.238";NA;NA;NA;NA;"Missing_PNEC"
"7429-90-5";"100.028.248";"20 mg/L (1)";NA;20;20;"N/A"
"7429-91-6";"100.028.249";NA;NA;NA;NA;"Missing_PNEC"
"7433-78-5";"100.203.211";NA;NA;NA;NA;"Missing_PNEC"
"74332-34-6";"100.109.034";NA;NA;NA;NA;"Missing_PNEC"
"74333-44-1";"100.102.538";NA;NA;NA;NA;"Missing_PNEC"
"74336-55-3";"100.112.703";NA;NA;NA;NA;"Missing_PNEC"
"74336-59-7";"100.070.727";NA;NA;NA;NA;"Missing_PNEC"
"74338-72-0";"100.102.109";NA;NA;NA;NA;"Missing_PNEC"
"743423-33-8";"100.130.054";NA;NA;NA;NA;"Missing_PNEC"
"743467-16-5";"100.246.610";NA;NA;NA;NA;"Missing_PNEC"
"7435-12-3";"100.028.259";NA;NA;NA;NA;"Missing_PNEC"
"74351-78-3";"100.130.251";NA;NA;NA;NA;"Missing_PNEC"
"7439-88-5";"100.028.269";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7439-89-6";"100.028.270";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7439-91-0";"100.028.272";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7439-92-1";"100.028.273";"100 µg/L (2)";NA;0.1;0.1;"N/A"
"7439-93-2";"100.028.274";"22.94 mg/L (2)";NA;22.94;22.94;"N/A"
"7439-95-4";"100.028.276";"10.8 mg/L (2)";NA;10.8;10.8;"N/A"
"7439-96-5";"100.028.277";"100 mg/L (2)";NA;100;100;"N/A"
"7439-97-6";"100.028.278";"2.25 µg/L (1)";NA;0.00225;0.00225;"N/A"
"7439-98-7";"100.028.279";"21.7 mg/L (1)";NA;21.7;21.7;"N/A"
"7440-00-8";"100.028.281";NA;NA;NA;NA;"Missing_PNEC"
"7440-02-0";"100.028.283";NA;NA;NA;NA;"Missing_PNEC"
"7440-03-1";"100.028.284";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-05-3";"100.028.286";"1.46 mg/L (1)";NA;1.46;1.46;"N/A"
"7440-06-4";"100.028.287";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-09-7";"100.028.290";NA;NA;NA;NA;"Missing_PNEC"
"7440-10-0";"100.028.291";NA;NA;NA;NA;"Missing_PNEC"
"7440-15-5";"100.028.294";NA;NA;NA;NA;"Missing_PNEC"
"7440-16-6";"100.028.295";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-18-8";"100.028.297";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-19-9";"100.028.298";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-21-3";"100.028.300";"-";NA;NA;NA;"Missing_PNEC"
"7440-22-4";"100.028.301";"25 µg/L (2)";NA;0.025;0.025;"N/A"
"7440-23-5";"100.028.302";NA;NA;NA;NA;"Missing_PNEC"
"7440-24-6";"100.028.303";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-25-7";"100.028.304";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-27-9";"100.028.306";NA;NA;NA;NA;"Missing_PNEC"
"7440-31-5";"100.028.310";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-32-6";"100.028.311";"60 mg/L (1)";NA;60;60;"N/A"
"7440-33-7";"100.028.312";"5.86 mg/L (1)";NA;5.86;5.86;"N/A"
"7440-36-0";"100.028.314";"2.55 mg/L (1)";NA;2.55;2.55;"N/A"
"7440-38-2";"100.028.316";"61 µg/L (1)";NA;0.061;0.061;"N/A"
"7440-39-3";"100.028.317";"62.2 mg/L (1)";NA;62.2;62.2;"N/A"
"7440-41-7";"100.028.318";NA;NA;NA;NA;"Missing_PNEC"
"7440-42-8";"100.028.319";"10 mg/L (1)";NA;10;10;"N/A"
"7440-43-9";"100.028.320";"20 µg/L (1)";NA;0.02;0.02;"N/A"
"7440-44-0";"100.157.949";NA;NA;NA;NA;"Missing_PNEC"
"7440-45-1";"100.028.322";"60.9 mg/L (1)";NA;60.9;60.9;"N/A"
"7440-47-3";"100.028.324";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-48-4";"100.028.325";"370 µg/L (1)";NA;0.37;0.37;"N/A"
"7440-50-8";"100.028.326";"230 µg/L (1)";NA;0.23;0.23;"N/A"
"7440-54-2";"100.028.329";NA;NA;NA;NA;"Missing_PNEC"
"7440-55-3";"100.028.330";NA;NA;NA;NA;"Missing_PNEC"
"7440-56-4";"100.028.331";"7 mg/L (1)";NA;7;7;"N/A"
"7440-57-5";"100.028.332";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-58-6";"100.028.333";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-62-2";"100.028.337";"450 µg/L (1)";NA;0.45;0.45;"N/A"
"7440-65-5";"100.028.340";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-66-6";"100.028.341";"100 µg/L (1)";NA;0.1;0.1;"N/A"
"7440-67-7";"100.028.342";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-69-9";"100.028.343";"17.5 mg/L (1)";NA;17.5;17.5;"N/A"
"7440-70-2";"100.028.344";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7440-74-6";"100.028.345";"51.6 mg/L (1)";NA;51.6;51.6;"N/A"
"74401-04-0";"100.101.706";NA;NA;NA;NA;"Missing_PNEC"
"744200-34-8";"100.102.375";NA;NA;NA;NA;"Missing_PNEC"
"744266-61-3";"100.104.552";NA;NA;NA;NA;"Missing_PNEC"
"7443-25-6";"100.028.350";"3.37 mg/L (1)";NA;3.37;3.37;"N/A"
"74441-05-7";"100.070.772";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74441-06-8";"100.070.773";NA;NA;NA;NA;"Missing_PNEC"
"7446-07-3";"100.028.357";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"7446-08-4";"100.028.358";"10 mg/L (1)";NA;10;10;"N/A"
"7446-09-5";"100.028.359";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7446-11-9";"100.028.361";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7446-14-2";"100.028.362";NA;NA;NA;NA;"Missing_PNEC"
"7446-26-6";"100.028.367";"52 µg/L (1)";NA;0.052;0.052;"N/A"
"7446-70-0";"100.028.371";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7446-81-3";"100.028.372";"900 µg/L (1)";NA;0.9;0.9;"N/A"
"74462-02-5";"100.204.986";NA;NA;NA;NA;"Missing_PNEC"
"7447-39-4";"100.028.373";"230 µg/L (1)";NA;0.23;0.23;"N/A"
"7447-40-7";"100.028.374";"10 mg/L (1)";NA;10;10;"N/A"
"7447-41-8";"100.028.375";"140.2 mg/L (1)";NA;140.2;140.2;"N/A"
"7449-74-3";"100.028.379";NA;NA;NA;NA;"Missing_PNEC"
"7450-59-1";"100.103.389";NA;NA;NA;NA;"Missing_PNEC"
"7450-69-3";"100.028.380";NA;NA;NA;NA;"Missing_PNEC"
"74504-65-7";"100.111.702";"2 mg/L (1)";NA;2;2;"N/A"
"745070-61-5";"100.104.520";"10 mg/L (1)";NA;10;10;"N/A"
"74509-79-8";"100.070.798";NA;NA;NA;NA;"Missing_PNEC"
"7452-79-1";"100.028.387";"300 µg/L (1)";NA;0.3;0.3;"N/A"
"74525-32-9";"100.070.803";NA;NA;NA;NA;"Missing_PNEC"
"74543-22-9";"100.070.813";NA;NA;NA;NA;"Missing_PNEC"
"74546-14-8";"100.103.629";NA;NA;NA;NA;"Missing_PNEC"
"7456-68-0";"100.103.013";NA;NA;NA;NA;"Missing_PNEC"
"74563-64-7";"100.070.818";"10 mg/L (1)";NA;10;10;"N/A"
"74595-94-1";"100.104.546";NA;NA;NA;NA;"Missing_PNEC"
"7460-12-0";"100.028.403";NA;NA;NA;NA;"Missing_PNEC"
"7460-74-4";"100.028.406";NA;NA;NA;NA;"Missing_PNEC"
"746595-79-9";"100.118.583";NA;NA;NA;NA;"Missing_PNEC"
"74664-50-9";"100.070.847";NA;NA;NA;NA;"Missing_PNEC"
"74665-14-8";"100.070.853";"58 mg/L (1)";NA;58;58;"N/A"
"7473-98-5";"100.028.429";"45 mg/L (1)";NA;45;45;"N/A"
"7474-78-4";"100.028.431";NA;NA;NA;NA;"Missing_PNEC"
"74753-15-4";"100.070.872";NA;NA;NA;NA;"Missing_PNEC"
"74761-42-5";"100.110.464";NA;NA;NA;NA;"Missing_PNEC"
"74775-06-7";"100.105.745";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"748-97-0";"100.010.930";NA;NA;NA;NA;"Missing_PNEC"
"7480-35-5";"100.102.123";NA;NA;NA;NA;"Missing_PNEC"
"74805-60-0";"100.219.383";NA;NA;NA;NA;"Missing_PNEC"
"74844-91-0";"100.107.775";NA;NA;NA;NA;"Missing_PNEC"
"74844-93-2";"100.338.671";NA;NA;NA;NA;"Missing_PNEC"
"74852-61-2";"100.109.911";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74853-07-9";"100.070.896";NA;NA;NA;NA;"Missing_PNEC"
"74853-08-0";"100.120.452";NA;NA;NA;NA;"Missing_PNEC"
"7486-38-6";"100.028.448";"59.1 mg/L (1)";NA;59.1;59.1;"N/A"
"74860-00-7";"100.122.175";NA;NA;NA;NA;"Missing_PNEC"
"74869-22-0";"100.070.899";NA;NA;NA;NA;"Missing_PNEC"
"7487-88-9";"100.028.453";"10 mg/L (1)";NA;10;10;"N/A"
"74878-48-1";"100.070.901";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7488-55-3";"100.028.457";"83.4 mg/L (1)";NA;83.4;83.4;"N/A"
"7488-56-4";"100.028.458";NA;NA;NA;NA;"Missing_PNEC"
"7491-02-3";"100.028.461";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"7491-09-0";"100.028.462";"122 mg/L (1)";NA;122;122;"N/A"
"7492-18-4";"100.028.467";NA;NA;NA;NA;"Missing_PNEC"
"7492-66-2";"100.028.476";NA;NA;NA;NA;"Missing_PNEC"
"7492-67-3";"100.028.477";NA;NA;NA;NA;"Missing_PNEC"
"7492-70-8";"100.028.479";NA;NA;NA;NA;"Missing_PNEC"
"7493-57-4";"100.028.480";NA;NA;NA;NA;"Missing_PNEC"
"7493-74-5";"100.028.487";"200 µg/L (1)";NA;0.2;0.2;"N/A"
"74931-55-8";"100.070.916";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"74936-72-4";"100.070.919";NA;NA;NA;NA;"Missing_PNEC"
"749863-28-3";"100.246.892";NA;NA;NA;NA;"Missing_PNEC"
"749863-29-4";"100.246.852";NA;NA;NA;NA;"Missing_PNEC"
"749887-18-1";"100.105.465";NA;NA;NA;NA;"Missing_PNEC"
"7499-06-1";"100.156.091";NA;NA;NA;NA;"Missing_PNEC"
"749927-69-3";"100.236.193";NA;NA;NA;NA;"Missing_PNEC"
"74993-03-6";"100.070.931";NA;NA;NA;NA;"Missing_PNEC"
"75-00-3";"100.000.755";"140 mg/L (1)";NA;140;140;"N/A"
"75-01-4";"100.000.756";"400 µg/L (5)";NA;0.4;0.4;"N/A"
"75-02-5";"100.000.757";"-";NA;NA;NA;"Missing_PNEC"
"75-03-6";"100.000.758";NA;NA;NA;NA;"Missing_PNEC"
"75-04-7";"100.000.759";"20.3 mg/L (1)";NA;20.3;20.3;"N/A"
"75-05-8";"100.000.760";"32 mg/L (1)";NA;32;32;"N/A"
"75-07-0";"100.000.761";NA;NA;NA;NA;"Missing_PNEC"
"75-08-1";"100.000.762";"8.81 mg/L (1)";NA;8.81;8.81;"N/A"
"75-09-2";"100.000.763";"26 mg/L (1)";NA;26;26;"N/A"
"75-10-5";"100.000.764";NA;NA;NA;NA;"Missing_PNEC"
"75-11-6";"100.000.765";NA;NA;NA;NA;"Missing_PNEC"
"75-12-7";"100.000.766";"100 mg/L (2)";NA;100;100;"N/A"
"75-15-0";"100.000.767";"130 µg/L (1)";NA;0.13;0.13;"N/A"
"75-16-1";"100.000.768";NA;NA;NA;NA;"Missing_PNEC"
"75-18-3";"100.000.770";"200 µg/L (1)";NA;0.2;0.2;"N/A"
"75-20-7";"100.000.772";NA;NA;NA;NA;"Missing_PNEC"
"75-21-8";"100.000.773";"13 mg/L (1)";NA;13;13;"N/A"
"75-23-0";"100.000.775";NA;NA;NA;NA;"Missing_PNEC"
"75-24-1";"100.000.776";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"75-25-2";"100.000.777";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"75-26-3";"100.000.778";NA;NA;NA;NA;"Missing_PNEC"
"75-28-5";"100.000.780";NA;NA;NA;NA;"Missing_PNEC"
"75-29-6";"100.000.781";"27 mg/L (1)";NA;27;27;"N/A"
"75-31-0";"100.000.783";"10 mg/L (1)";NA;10;10;"N/A"
"75-33-2";"100.000.784";"8.805 mg/L (1)";NA;8.805;8.805;"N/A"
"75-35-4";"100.000.786";"2 g/L (1)";NA;2000;2000;"N/A"
"75-36-5";"100.000.787";NA;NA;NA;NA;"Missing_PNEC"
"75-37-6";"100.000.788";"4.726 mg/L (3)";NA;4.726;4.726;"N/A"
"75-38-7";"100.000.789";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"75-44-5";"100.000.792";NA;NA;NA;NA;"Missing_PNEC"
"75-45-6";"100.000.793";NA;NA;NA;NA;"Missing_PNEC"
"75-46-7";"100.000.794";NA;NA;NA;NA;"Missing_PNEC"
"75-50-3";"100.000.796";"149.82 mg/L (1)";NA;149.82;149.82;"N/A"
"75-52-5";"100.000.797";"4.9 mg/L (1)";NA;4.9;4.9;"N/A"
"75-54-7";"100.000.798";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"75-55-8";"100.000.799";NA;NA;NA;NA;"Missing_PNEC"
"75-56-9";"100.000.800";"10 mg/L (1)";NA;10;10;"N/A"
"75-57-0";"100.000.801";"6 mg/L (1)";NA;6;6;"N/A"
"75-59-2";"100.000.803";"5 mg/L (1)";NA;5;5;"N/A"
"75-62-7";"100.000.806";NA;NA;NA;NA;"Missing_PNEC"
"75-63-8";"100.000.807";NA;NA;NA;NA;"Missing_PNEC"
"75-64-9";"100.000.808";"72 mg/L (1)";NA;72;72;"N/A"
"75-65-0";"100.000.809";"690 mg/L (1)";NA;690;690;"N/A"
"75-66-1";"100.000.810";"100 µg/L (1)";NA;0.1;0.1;"N/A"
"75-68-3";"100.000.811";NA;NA;NA;NA;"Missing_PNEC"
"75-71-8";"100.000.813";NA;NA;NA;NA;"Missing_PNEC"
"75-73-0";"100.000.815";NA;NA;NA;NA;"Missing_PNEC"
"75-75-2";"100.000.817";"100 mg/L (1)";NA;100;100;"N/A"
"75-76-3";"100.000.818";"1.71 g/L (1)";NA;1710;1710;"N/A"
"75-77-4";"100.000.819";"67 mg/L (1)";NA;67;67;"N/A"
"75-78-5";"100.000.820";"6.9 mg/L (1)";NA;6.9;6.9;"N/A"
"75-79-6";"100.000.821";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"75-83-2";"100.000.825";NA;NA;NA;NA;"Missing_PNEC"
"75-85-4";"100.000.827";"10 mg/L (1)";NA;10;10;"N/A"
"75-86-5";"100.000.828";NA;NA;NA;NA;"Missing_PNEC"
"75-87-6";"100.000.829";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"75-89-8";"100.000.831";"100 mg/L (1)";NA;100;100;"N/A"
"75-91-2";"100.000.833";"170 µg/L (1)";NA;0.17;0.17;"N/A"
"75-94-5";"100.000.835";"10 mg/L (1)";NA;10;10;"N/A"
"75-97-8";"100.000.838";NA;NA;NA;NA;"Missing_PNEC"
"75-98-9";"100.000.839";"100 mg/L (2)";NA;100;100;"N/A"
"75001-09-1";"100.365.872";NA;NA;NA;NA;"Missing_PNEC"
"75005-95-7";"100.070.934";NA;NA;NA;NA;"Missing_PNEC"
"75028-24-9";"100.133.116";NA;NA;NA;NA;"Missing_PNEC"
"75045-07-7";"100.226.670";NA;NA;NA;NA;"Missing_PNEC"
"75081-73-1";"100.226.920";"5 mg/L (2)";NA;5;5;"N/A"
"751-83-7";"100.010.935";"150 µg/L (1)";NA;0.15;0.15;"N/A"
"75101-99-4";"100.247.670";NA;NA;NA;NA;"Missing_PNEC"
"75113-37-0";"100.100.300";NA;NA;NA;NA;"Missing_PNEC"
"7512-17-6";"100.028.517";NA;NA;NA;NA;"Missing_PNEC"
"75128-73-3";"100.070.958";NA;NA;NA;NA;"Missing_PNEC"
"75130-24-4";"100.110.211";NA;NA;NA;NA;"Missing_PNEC"
"75147-23-8";"100.070.960";NA;NA;NA;NA;"Missing_PNEC"
"75157-06-1";"100.132.335";NA;NA;NA;NA;"Missing_PNEC"
"75173-68-1";"100.070.973";NA;NA;NA;NA;"Missing_PNEC"
"75198-93-5";"100.070.982";NA;NA;NA;NA;"Missing_PNEC"
"75199-00-7";"100.070.987";NA;NA;NA;NA;"Missing_PNEC"
"75199-08-5";"100.070.991";NA;NA;NA;NA;"Missing_PNEC"
"75199-13-2";"100.070.993";NA;NA;NA;NA;"Missing_PNEC"
"75214-58-3";"100.071.004";NA;NA;NA;NA;"Missing_PNEC"
"75214-63-0";"100.071.007";"1 mg/L (1)";NA;1;1;"N/A"
"75214-65-2";"100.071.009";NA;NA;NA;NA;"Missing_PNEC"
"75214-69-6";"100.071.013";NA;NA;NA;NA;"Missing_PNEC"
"75214-72-1";"100.071.016";NA;NA;NA;NA;"Missing_PNEC"
"75219-49-7";"100.071.017";NA;NA;NA;NA;"Missing_PNEC"
"752225-55-1";"100.126.869";"10 mg/L (1)";NA;10;10;"N/A"
"75234-41-2";"100.071.020";"100 mg/L (1)";NA;100;100;"N/A"
"75247-18-6";"100.071.025";"-";NA;NA;NA;"Missing_PNEC"
"7526-26-3";"100.028.535";"200 µg/L (1)";NA;0.2;0.2;"N/A"
"75268-65-4";"100.071.028";NA;NA;NA;NA;"Missing_PNEC"
"75277-39-3";"100.071.042";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"75279-53-7";"100.170.597";NA;NA;NA;NA;"Missing_PNEC"
"75284-35-4";"100.071.047";NA;NA;NA;NA;"Missing_PNEC"
"7529-16-0";"100.115.200";NA;NA;NA;NA;"Missing_PNEC"
"7529-22-8";"100.028.538";"100 mg/L (1)";NA;100;100;"N/A"
"752984-24-0";"100.157.869";NA;NA;NA;NA;"Missing_PNEC"
"753-73-1";"100.010.945";"790 µg/L (2)";NA;0.79;0.79;"N/A"
"753-90-2";"100.010.947";NA;NA;NA;NA;"Missing_PNEC"
"75302-98-6";"100.128.414";NA;NA;NA;NA;"Missing_PNEC"
"7531-52-4";"100.028.543";NA;NA;NA;NA;"Missing_PNEC"
"75314-26-0";"100.071.059";"1 mg/L (1)";NA;1;1;"N/A"
"75314-27-1";"100.071.060";NA;NA;NA;NA;"Missing_PNEC"
"75330-75-5";"100.115.931";NA;NA;NA;NA;"Missing_PNEC"
"7534-94-3";"100.028.549";"2.45 mg/L (1)";NA;2.45;2.45;"N/A"
"753501-37-0";"100.318.960";NA;NA;NA;NA;"Missing_PNEC"
"7538-59-2";"100.028.556";NA;NA;NA;NA;"Missing_PNEC"
"7539-12-0";"100.028.557";NA;NA;NA;NA;"Missing_PNEC"
"754-05-2";"100.010.948";NA;NA;NA;NA;"Missing_PNEC"
"754-12-1";"100.104.879";NA;NA;NA;NA;"Missing_PNEC"
"7540-51-4";"100.028.560";"580 mg/L (1)";NA;580;580;"N/A"
"7541-49-3";"100.131.435";NA;NA;NA;NA;"Missing_PNEC"
"754186-36-2";"100.127.340";NA;NA;NA;NA;"Missing_PNEC"
"75490-39-0";"100.102.115";NA;NA;NA;NA;"Missing_PNEC"
"7550-35-8";"100.028.582";"287 mg/L (2)";NA;287;287;"N/A"
"7550-45-0";"100.028.584";NA;NA;NA;NA;"Missing_PNEC"
"75511-91-0";"100.100.941";NA;NA;NA;NA;"Missing_PNEC"
"7553-56-2";"100.028.585";"11 - 61 mg/L (3)";NA;11;61;"N/A"
"75535-16-9";"100.071.113";NA;NA;NA;NA;"Missing_PNEC"
"7554-65-6";"100.028.587";NA;NA;NA;NA;"Missing_PNEC"
"75540-64-6";"100.102.783";NA;NA;NA;NA;"Missing_PNEC"
"7558-79-4";"100.028.590";"50 mg/L (2)";NA;50;50;"N/A"
"7558-80-7";"100.028.591";"50 mg/L (2)";NA;50;50;"N/A"
"756-12-7";"100.218.441";NA;NA;NA;NA;"Missing_PNEC"
"756-13-8";"100.103.448";"1 mg/L (3)";NA;1;1;"N/A"
"756-79-6";"100.010.957";NA;NA;NA;NA;"Missing_PNEC"
"756-80-9";"100.010.958";NA;NA;NA;NA;"Missing_PNEC"
"7560-83-0";"100.028.595";"20.6 mg/L (1)";NA;20.6;20.6;"N/A"
"75627-12-2";"100.071.133";NA;NA;NA;NA;"Missing_PNEC"
"75627-31-5";"100.126.280";"5.74 mg/L (1)";NA;5.74;5.74;"N/A"
"757-86-8";"100.010.962";NA;NA;NA;NA;"Missing_PNEC"
"757251-39-1";"100.220.898";NA;NA;NA;NA;"Missing_PNEC"
"7575-23-7";"100.028.612";"2.39 mg/L (1)";NA;2.39;2.39;"N/A"
